Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Issue_Original,Response_Type
CONV-0992,"Здравствуйте, потеряла доступ к учётке (AUTH_403_Account_Locked), раньше такого не было.",Сбросьте пароль по предоставленной ссылке.,14 minutes,Software,Resolved after follow-up,Низкая скорость работы системы,password
CONV-0993,"Компьютер жутко тормозит после последнего обновления, окна откликаются через несколько секунд.",Очистите кэш и удалите ненужные программы.,16 minutes,Hardware,Resolved,Принтер не отвечает,performance
CONV-0994,"Иногда всё зависает и помогает только перезагрузка при высокой нагрузке, очень боюсь потерять данные (0x0000007E), это продолжается уже несколько дней.",Запустите утилиту диагностики системы.,109 minutes,Hardware,Resolved after follow-up,Нет доступа к электронной почте,diagnostic
CONV-0995,"Не получается установить программу из-под учётки администратора, пишет, что недостаточно прав, это продолжается второй день.",Следуйте инструкции по установке программного обеспечения.,57 minutes,Hardware,Pending,Сбой при установке программного обеспечения,install
CONV-0996,"Почтовый клиент постоянно выдаёт ошибку через outlook (Exchange_500_InternalServerError), из-за этого не успеваю сдавать задачи.",Проверьте настройки электронной почты.,30 minutes,Performance,Escalated,Не удаётся подключиться к Wi-Fi,email
CONV-0997,"Здравствуйте, кажется, неправильно помню пароль, несколько раз блокировало вход после попыток.",Сбросьте пароль по предоставленной ссылке.,79 minutes,Hardware,Escalated,Забыл(а) пароль,password
CONV-0998,"Добрый вечер, ноутбук сильно лагает при одновременном открытии нескольких приложений, это продолжается уже несколько дней.",Очистите кэш и удалите ненужные программы.,115 minutes,Software,Resolved after follow-up,Нет доступа к электронной почте,performance
CONV-0999,"Доброго дня, почта не открывается через outlook, срочно нужно отправить отчёт.",Проверьте настройки электронной почты.,68 minutes,Software,Pending,Ошибка «синий экран»,email
CONV-1000,"Установщик даже не запускается на ноутбуке, пробовала переустанавливать несколько раз (0x80070005 — Access Denied), это продолжается уже несколько дней.",Следуйте инструкции по установке программного обеспечения.,28 minutes,Network,Pending,Забыл(а) пароль,install
CONV-1001,"Добрый вечер, принтер отображается, но не выводит ничего на бумагу.",Переустановите драйверы принтера.,15 minutes,Software,Resolved,Принтер не отвечает,printer
CONV-1002,"Принтер отображается, но не выводит ничего на бумагу, нужно срочно распечатать документы (0x00000006 — Invalid Handle), особенно критично в рабочее время.",Переустановите драйверы принтера.,16 minutes,Hardware,Pending,Принтер не отвечает,printer
CONV-1003,"Добрый вечер, принтер отображается, но не выводит ничего на бумагу по сети, пробовала перезапускать, не помогает (Printer_Driver_Missing_0x0000007e). А работать-то надо!",Переустановите драйверы принтера.,30 minutes,Account,Resolved,Нет доступа к электронной почте,printer
CONV-1004,"Добрый вечер, wi-fi не подключается на рабочем месте. Из-за этого постоянно срыавются сроки.",Перезагрузите маршрутизатор.,98 minutes,Hardware,Escalated,Ошибка «синий экран»,wifi
CONV-1005,"Коллеги, принтер никак не реагирует на печать по сети (Print_Spooler_Error_0x000003e3), раньше такого не было.",Переустановите драйверы принтера.,41 minutes,Account,Pending,Забыл(а) пароль,printer
CONV-1006,"Не получается установить программу после последнего обновления системы, пробовала переустанавливать несколько раз (0x80070643 — Fatal error during installation). Очень прошу помочь с этой проблемой.",Следуйте инструкции по установке программного обеспечения.,119 minutes,Hardware,Escalated,Сбой при установке программного обеспечения,install
CONV-1007,"Добрый вечер, компьютер жутко тормозит даже при открытии простых программ, работать в таком режиме невозможно, особенно критично в рабочее время.",Очистите кэш и удалите ненужные программы.,71 minutes,Hardware,Resolved,Нет доступа к электронной почте,performance
CONV-1008,"Доброго времени суток, система стала очень медленной при одновременном открытии нескольких приложений, курсор иногда зависает.",Очистите кэш и удалите ненужные программы.,45 minutes,Software,Pending,Сбой при установке программного обеспечения,performance
CONV-1009,"Коллеги, почтовый клиент постоянно выдаёт ошибку с ноутбука, пишет, что нет подключения к серверу (IMAP_Connection_Refused). Ситуация повторяется уже не первый раз.",Проверьте настройки электронной почты.,108 minutes,Network,Pending,Сбой при установке программного обеспечения,email
CONV-1010,"Добрый вечер, принтер никак не реагирует на печать, очень мешает работе.",Переустановите драйверы принтера.,116 minutes,Software,Escalated,Низкая скорость работы системы,printer
CONV-1011,"Добрый вечер, даже простые программы запускаются очень долго даже при открытии простых программ, курсор иногда зависает.",Очистите кэш и удалите ненужные программы.,28 minutes,Network,Pending,Ошибка «синий экран»,performance
CONV-1012,"Компьютер не видит принтер от моего компьютера, пишет ошибку по драйверу, раньше всё работало нормально.",Переустановите драйверы принтера.,61 minutes,Network,Pending,Ошибка «синий экран»,printer
CONV-1013,"Почта не открывается, письма иногда доходят, иногда нет, это продолжается уже несколько дней.",Проверьте настройки электронной почты.,40 minutes,Software,Pending,Сбой при установке программного обеспечения,email
CONV-1014,"Коллеги, принтер никак не реагирует на печать в офисе, нужно срочно распечатать документы. Из-за этого страдает вся команда.",Переустановите драйверы принтера.,18 minutes,Performance,Escalated,Сбой при установке программного обеспечения,printer
CONV-1015,"Добрый день, установщик даже не запускается, пишет, что недостаточно прав (ERROR_INSTALL_FAILURE), очень мешает работе.",Следуйте инструкции по установке программного обеспечения.,85 minutes,Account,Resolved,Забыл(а) пароль,install
CONV-1016,"Добрый вечер, не могу войти в аккаунт, вчера входил нормально, сегодня уже нет (AUTH_Token_Expired).",Сбросьте пароль по предоставленной ссылке.,77 minutes,Hardware,Escalated,Нет доступа к электронной почте,password
CONV-1017,"Здравствуйте, установка по зависает после последнего обновления системы, пробовала переустанавливать несколько раз. Это особенно мешает в рабочие часы.",Следуйте инструкции по установке программного обеспечения.,88 minutes,Software,Resolved,Низкая скорость работы системы,install
CONV-1018,"Здравствуйте, появляются какие-то ошибки и сбои, после перезагрузки некоторое время всё нормально, потом снова (0x0000003B). Из-за этого постоянно срываются сроки.",Запустите утилиту диагностики системы.,65 minutes,Hardware,Escalated,Забыл(а) пароль,diagnostic
CONV-1019,"Доброго дня, принтер отображается, но не выводит ничего на бумагу от моего компьютера, документ уходит в очередь, но ничего не происходит.",Переустановите драйверы принтера.,68 minutes,Network,Resolved after follow-up,Нет доступа к электронной почте,printer
CONV-1020,"Добрый вечер, иногда всё зависает и помогает только перезагрузка при высокой нагрузке, после перезагрузки некоторое время всё нормально, потом снова, это продолжается уже несколько дней.",Запустите утилиту диагностики системы.,92 minutes,Network,Resolved after follow-up,Нет доступа к электронной почте,diagnostic
CONV-1021,"Добрый вечер, компьютер жутко тормозит, раньше всё работало намного быстрее.",Очистите кэш и удалите ненужные программы.,77 minutes,Hardware,Resolved after follow-up,Сбой при установке программного обеспечения,performance
CONV-1022,"Доброго времени суток, wi-fi не подключается на нескольких устройствах сразу, иногда соединение просто пропадает без причины. Из-за этого постоянно срываются сроки.",Перезагрузите маршрутизатор.,86 minutes,Network,Resolved,Низкая скорость работы системы,wifi
CONV-1023,"Добрый день, ноутбук сильно лагает даже при открытии простых программ, окна откликаются через несколько секунд, очень мешает работе.",Очистите кэш и удалите ненужные программы.,71 minutes,Account,Resolved after follow-up,Принтер не отвечает,performance
CONV-1024,"Доброго времени суток, не получается установить программу из-под учётки администратора, обрывается примерно на середине.",Следуйте инструкции по установке программного обеспечения.,45 minutes,Hardware,Escalated,Низкая скорость работы системы,install
CONV-1025,"Добрый вечер, инсталлятор вылетает при установке на рабочем компьютере, пишет, что недостаточно прав, из-за этого не успеваю сдавать задачи.",Следуйте инструкции по установке программного обеспечения.,22 minutes,Account,Pending,Не удаётся подключиться к Wi-Fi,install
CONV-1026,"Добрый вечер, появляются какие-то ошибки и сбои, очень боюсь потерять данные.",Запустите утилиту диагностики системы.,51 minutes,Performance,Resolved after follow-up,Низкая скорость работы системы,diagnostic
CONV-1027,"Добрый вечер, пару раз появлялся синий экран при запуске программ, пару раз был синий экран (0x0000007E), особенно критично в рабочее время.",Запустите утилиту диагностики системы.,64 minutes,Software,Pending,Низкая скорость работы системы,diagnostic
CONV-1028,"Доброго дня, принтер не печатает от моего компьютера, пишет ошибку по драйверу, особенно критично в рабочее время.",Переустановите драйверы принтера.,40 minutes,Software,Resolved,Принтер не отвечает,printer
CONV-1029,"Доброго дня, принтер никак не реагирует на печать с разных приложений!",Переустановите драйверы принтера.,95 minutes,Account,Resolved,Сбой при установке программного обеспечения,printer
CONV-1030,"Добрый день, документы застревают в очереди печати по сети, документ уходит в очередь, но ничего не происходит (0x00000006 — Invalid Handle). А работать-то надо!",Переустановите драйверы принтера.,53 minutes,Network,Resolved,Забыл(а) пароль,printer
CONV-1031,"Здравствуйте, забыл пароль от учётной записи.",Сбросьте пароль по предоставленной ссылке.,108 minutes,Network,Resolved,Нет доступа к электронной почте,password
CONV-1032,"Принтер отображается, но не выводит ничего на бумагу от моего компьютера, документ уходит в очередь, но ничего не происходит.",Переустановите драйверы принтера.,94 minutes,Account,Pending,Сбой при установке программного обеспечения,printer
CONV-1033,"Компьютер не видит принтер, нужно срочно распечатать документы (0x00000709 — Printer cannot be selected). Ситуация повторяется уже не первый раз.",Переустановите драйверы принтера.,112 minutes,Account,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,printer
CONV-1034,"Коллеги, документы застревают в очереди печати, документ уходит в очередь, но ничего не происходит!!!",Переустановите драйверы принтера.,68 minutes,Network,Pending,Принтер не отвечает,printer
CONV-1035,"Коллеги, не приходят новые письма с рабочего компьютера (Exchange_500_InternalServerError), это продолжаестя уже несколько дней.",Проверьте настройки электронной почты.,31 minutes,Network,Pending,Низкая скорость работы системы,email
CONV-1036,"Пару раз появлялся синий экран, после перезагрузки некоторое время всё нормально, потом снова, раньше такого не было.",Запустите утилиту диагностики системы.,8 minutes,Performance,Resolved after follow-up,Низкая скорость работы системы,diagnostic
CONV-1037,"Добрый вечер, порграмма после установки не запускается на рабочем компьютере, пишет, что файл повреждён.",Следуйте инструкции по установке программного обеспечения.,72 minutes,Software,Resolved,Низкая скорость работы системы,install
CONV-1038,"Доброго времени суток, компьютер не видит принтер с разных приложений, пишет ошибку по драйверу (0x00000006 — Invalid Handle).",Переустановите драйверы принтера.,8 minutes,Network,Pending,Низкая скорость работы системы,printer
CONV-1039,"Добрый день, система периодически зависает и вылетает, пару раз был синий экран.",Запустите утилиту диагностики системы.,118 minutes,Account,Resolved,Не удаётся подключиться к Wi-Fi,diagnostic
CONV-1040,"Доброго времеин суток, вайфай вообще не коннектится только на моём ноутбуке, иногда соединение просто пропадает без причины (ERR_NETWORK_CHANGED), срочно нужно решить.",Перезагрузите маршрутизатор.,15 minutes,Performance,Resolved,Сбой при установке программного обеспечения,wifi
CONV-1041,"Добрый вечре, установщик даже не запускается из-под учётки администратора (0x80070005 — Access Denied), особенно критично в рабочее время.",Следуйте инструкции по установке программного обеспечения.,62 minutes,Account,Resolved after follow-up,Сбой при установке программного обеспечения,install
CONV-1042,"Дорбый вечер, не могу отправить письма, пишет, что нет подключения к серверу (IMAP_Connection_Refused).",Проверьте настройки электронной почты.,50 minutes,Performance,Resolved after follow-up,Нет доступа к электронной почте,email
CONV-1043,"Система не принимает мой пароль, после семны пароля вообще не пускает.",Сбросьте пароль по предоставленной ссылке.,43 minutes,Hardware,Resolved,Забыл(а) пароль,password
CONV-1044,"Добрый вечер, вайфай вообще не коннектится на нескольких устройствах сразу, особенно когда начинаю созвоны. Это особенно мешает в рабочие часы.",Перезагрузите маршрутизатор.,16 minutes,Account,Escalated,Ошибка «синий экран»,wifi
CONV-1045,"Доброго времени суток, система не принимает мой пароль, восстановление по почте не приходит, такое происходит почти каждое утро.",Сбросьте пароль по предоставленной ссылке.,12 minutes,Account,Resolved after follow-up,Сбой при установке программного обеспечения,password
CONV-1046,"Здравствуйте, не могу войти в аккаунт, восстановление по почте не приходит. Из-за этого сложно выполнять задачи вовремя.",Сбросьте пароль по предоставленной ссылке.,11 minutes,Software,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,password
CONV-1047,"Доброго времени суток, не могу отправить письма через веб-интерфейс, последние письма пришли несколько ачсов назад, особенно критично в рабочее время.",Проверьте настройки электронной почты.,49 minutes,Network,Resolved,Сбой при установке программного обеспечения,email
CONV-1048,"Доброго времени суток, wi-fi не подключается на рабочем месте, раньше всё работало нормально.",Перезагрузите маршрутизатор.,110 minutes,Network,Resolved,Нет доступа к электронной почте,wifi
CONV-1049,"Не приходят новые письма, последние письма пришли несколько часов назад. Ситуация повторяется уже не первый раз.",Проверьте настройки электронной почты.,58 minutes,Account,Resolved,Не удаётся подключиться к Wi-Fi,email
CONV-1050,"Доброго времени суток, не могу войти в аккаунт, восстановление по почте не приходит.",Сбросьте пароль по предоставленной ссылке.,92 minutes,Network,Pending,Забыл(а) пароль,password
CONV-1051,"Добрый день, сеть видна, но к ней не подключается, раньше всё работало нормально (ERR_CONNECTION_TIMED_OUT). Из-за этого постоянно срываются сроки.",Перезагрузите маршрутизатор.,60 minutes,Hardware,Resolved,Сбой при установке программного обеспечения,wifi
CONV-1052,"Доброго времени суток, потеряла доступ к учётке, пишет, что пароль неверный. Очень прошу помочь с этой проблемой.",Сбросьте пароль по предоставленной ссылке.,81 minutes,Network,Escalated,Сбой при установке программного обеспечения,password
CONV-1053,"Здравствуйте, программа после установки не запускается на рабочем компьютере, обрывается примерно на середине (0x80070005 — Access Denied), раньше такого не было.",Следуйте инструкции по установке программного обеспечения.,99 minutes,Account,Resolved after follow-up,Сбой при установке программного обеспечения,install
CONV-1054,"Добрый день, ноутбук сильно лагает, окна откликаются через несколько секунд.",Очистите кэш и удалите ненужные программы.,8 minutes,Account,Resolved,Не удаётся подключиться к Wi-Fi,performance
CONV-1055,"Коллеги, принтер не печатает от моего компьютера, из-за этого не успеваю сдавать задачи.",Переустановите драйверы принтера.,115 minutes,Hardware,Escalated,Принтер не отвечает,printer
CONV-1056,"Здравствуйте, всё открвыается с большой задержкой, курсор иногда зависает. Из-за этого постоянно срываются сроки.",Очистите кэш и удалите ненужные программы.,36 minutes,Performance,Resolved after follow-up,Принтер не отвечает,performance
CONV-1057,"Доброго времени суток, установка по зависает на ноутбуке, пишет, что файл повреждён. Из-за этого постоянно срываются сроки.",Следуйте инструкции по установке программного обеспечения.,16 minutes,Network,Resolved after follow-up,Принтер не отвечает,install
CONV-1058,"Добрый вечер, не могу войти в аккаунт, несколько раз блокировало вход после попыток.",Сбросьте пароль по предоставленной ссылке.,32 minutes,Hardware,Pending,Нет доступа к электронной почте,password
CONV-1059,"Здравствуйте, почта не открывается с ноутбука, срочно нужно отправить отчёт.",Проверьте настройки электронной почты.,100 minutes,Network,Pending,Ошибка «синий экран»,email
CONV-1060,"Здравствуйте, система не принимает мой пароль, вчера входил нормально, сегодня уже нет (AUTH_403_Account_Locked). А работать-то надо!",Сбросьте пароль по предоставленной ссылке.,62 minutes,Account,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,password
CONV-1061,"Коллеги, ноутбук не цепляется к сети на рабочем месте, иногда соединение просто пропадает без причины, срочно нужно решить.",Перезагрузите маршрутизатор.,98 minutes,Network,Pending,Нет доступа к электронной почте,wifi
CONV-1062,"Доброго времени суток, даже простые программы запускаются очень долго при работе с браузером, работать в таком режиме невозможно, это продолжается второй день.",Очистите кэш и удалите ненужные программы.,109 minutes,Software,Escalated,Сбой при установке программного обеспечения,performance
CONV-1063,"Не приходят новые письма через outlook, письма иногда доходят, иногда нет (SMTP_550_User_not_found), это продолжается второй день.",Проверьте настройки электронной почты.,11 minutes,Network,Escalated,Забыл(а) пароль,email
CONV-1064,"Добрый вечер, забыл пароль от учётной записи, несколько раз блокировало вход после попыток. Очень прошу помочь с этой проблемой.",Сбросьте пароль по предоставленной ссылке.,85 minutes,Hardware,Resolved after follow-up,Принтер не отвечает,password
CONV-1065,"Добрый день, потеряла доступ к учётке, восстановление по почте не приходит (AUTH_401_Invalid_Credentials).",Сбросьте пароль по предоставленной ссылке.,119 minutes,Account,Resolved,Низкая скорость работы системы,password
CONV-1066,"Ноутбук сильно лагает после последнего обновления, раньше всё работало намного быстрее, это продолжается уже несколько дней.",Очистите кэш и удалите ненужные программы.,49 minutes,Software,Pending,Сбой при установке программного обеспечения,performance
CONV-1067,"Система стала очень медленной после последнего обновления, окна откликаются через несколько секунд. Из-за этого постоянно срываются сроки.",Очистите кэш и удалите ненужные программы.,110 minutes,Hardware,Resolved,Ошибка «синий экран»,performance
CONV-1068,"Добрый вечер, пару раз появлялся синий экран при запуске программ, пару раз был синий экран.",Запустите утилиту диагностики системы.,13 minutes,Hardware,Escalated,Забыл(а) пароль,diagnostic
CONV-1069,"Добрый день, инсталлятор вылетеат при установке после последнего обновления системы.",Следуйте инструкции по установке программного обеспечения.,73 minutes,Software,Resolved,Низкая скорость работы системы,install
CONV-1070,"Здравствуйте, система стала очень медленной, раньше всё работало намного быстрее, это продолжается уже несколько дней.",Очистите кэш и удалите ненужные программы.,53 minutes,Hardware,Escalated,Сбой при установке программного обеспечения,performance
CONV-1071,"Доброго времени суток, программа после установки не запускается из-под учётки администратора, пробовала переустанавливать несколько раз (0x80070005 — Access Denied), очень мешает работе.",Следуйте инструкции по установке программного обеспечения.,109 minutes,Account,Resolved,Сбой при установке программного обеспечения,install
CONV-1072,"Здравствуйте, даже простые программы запускаются очень долго, курсор иногда зависает!!!",Очистите кэш и удалите ненужные программы.,86 minutes,Hardware,Escalated,Принтер не отвечает,performance
CONV-1073,"Добрый день, программа после установки не запускается из-под учётки администратора, обрывается примерно на середине. А работать-то надо!",Следуйте инструкции по установке программного обеспечения.,31 minutes,Hardware,Resolved after follow-up,Сбой при установке программного обеспечения,install
CONV-1074,"Добрый день, установка по зависает на рабочем компьютере, пишет, что недостаточно прав, из-за этого не успеваю сдавать задачи.",Следуйте инструкции по установке программного обеспечения.,47 minutes,Software,Pending,Не удаётся подключиться к Wi-Fi,install
CONV-1075,"Добрый вечер, кажется, неправильно помню пароль, восстановление по почте не приходит, это продолжается уже несколько дней.",Сбросьте пароль по предоставленной ссылке.,68 minutes,Account,Escalated,Принтер не отвечает,password
CONV-1076,"Доброго времени суток, компьютер не видит принтер по сети, пробовала перезапускать, не помогает.",Переустановите драйверы принтера.,91 minutes,Hardware,Pending,Принтер не отвечает,printer
CONV-1077,"Здравствуйте, иногда всё зависает и помогает только перезагрузка при запуске программ.",Запустите утилиту диагностики системы.,35 minutes,Performance,Escalated,Не удаётся подключиться к Wi-Fi,diagnostic
CONV-1078,"Добрый вечер, иногда всё зависает и помогает только перезагрузка во время работы (0x0000007E), уже не знаю, что делать.",Запустите утилиту диагностики системы.,114 minutes,Account,Escalated,Нет доступа к электронной почте,diagnostic
CONV-1079,"Добрый вечер, установщик даже не запускается на ноутбуке, обрывается примерно на середине.",Следуйте инструкции по установке программного обеспечения.,12 minutes,Hardware,Pending,Сбой при установке программного обеспечения,install
CONV-1080,"Иногда всё зависает и помогает только перезагрузка при высокой нагрузке, иногда выскакивает сообщение с ошибкой.",Запустите утилиту диагностики системы.,80 minutes,Network,Pending,Низкая скорость работы системы,diagnostic
CONV-1081,"Добрый вечер, иногда всё зависает и помогает только перезагрузка при запуске программ, иногда выскакивает сообщение с ошибкой, это продолжается уже несколько дней.",Запустите утилиту диагностики системы.,9 minutes,Software,Resolved after follow-up,Сбой при установке программного обеспечения,diagnostic
CONV-1082,"Доброго дня, компьютер не видит принтер. Это начало происходить совсем недавно.",Переустановите драйверы принтера.,16 minutes,Performance,Escalated,Не удаётся подключиться к Wi-Fi,printer
CONV-1083,"Добрый день, потеряла доступ к учётке, пишет, что пароль неверный!",Сбросьте пароль по предоставленной ссылке.,79 minutes,Performance,Escalated,Нет доступа к электронной почте,password
CONV-1084,"Коллеги, принтер отображается, но не выводит ничего на бумагу в офисе, документ уходит в очередь, но ничего не происходит (Printer_Driver_Missing_0x0000007e), раньше такого не было.",Переустановите драйверы принтера.,41 minutes,Account,Pending,Нет доступа к электронной почте,printer
CONV-1085,"Доброго времени суток, установка по зависает из-под учётки администратора, пробовала переустанавливать несколько раз, это продолжается второй день.",Следуйте инструкции по установке программного обеспечения.,78 minutes,Software,Pending,Нет доступа к электронной почте,install
CONV-1086,"Доброго дня, не могу отправить письма с рабочего компьютера, срочно нужон отправить отчёт, раньше такого не было.",Проверьте настройки электронной почты.,99 minutes,Network,Resolved after follow-up,Ошибка «синий экран»,email
CONV-1087,"Привет, интернет отваливается постоянно только на моём ноутбуке, раньше всё работало нормально (DNS_PROBE_FINISHED_NO_INTERNET), срочно нужно решить.",Перезагрузите маршрутизатор.,53 minutes,Hardware,Resolved,Принтер не отвечает,wifi
CONV-1088,"Документы застревают в очереди печати по сети, нужно срочно распечатать документы (Print_Spooler_Error_0x000003e3), раньше такого не было.",Переустановите драйверы принтера.,14 minutes,Hardware,Escalated,Не удаётся подключиться к Wi-Fi,printer
CONV-1089,"Доброго времени суток, не приходят новые письма через веб-интерфейс, срочно нужно отправить отчёт.",Проверьте настройки электронной почты.,47 minutes,Performance,Resolved,Нет доступа к электронной почте,email
CONV-1090,"Добрый вечер, пару раз появлялся синий экран во время работы, пару раз был синий экран. Это особенно мешает в рабочие часы.",Запустите утилиту диагностики системы.,18 minutes,Software,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,diagnostic
CONV-1091,"Добрый день, компьютер не видит принтер, пробовала перезапускать, не помогает (0x00000709 — Printer cannot be selected), такое происходит почти каждое утро.",Переустановите драйверы принтера.,18 minutes,Network,Resolved after follow-up,Забыл(а) пароль,printer
CONV-1092,Установка по зависает из-под учётки администратора (0x80070005 — Access Denied). Очень прошу помочь с этой проблемой.,Следуйте инструкции по установке программного обеспечения.,90 minutes,Software,Escalated,Ошибка «синий экран»,install
CONV-1093,"Не могу отправить письма с рабочего компьютера, пишет, что нет подключения к серверу (SMTP_421_Service_not_available), особенно критично в рабочее время.",Проверьте настройки электронной почты.,100 minutes,Hardware,Escalated,Нет доступа к электронной почте,email
CONV-1094,"Добрый вечер, ноутбук не цепляется к сети на нескольких устройствах сразу, особенно когда начинаю созвоны, срочно нужно решить.",Перезагрузите маршрутизатор.,111 minutes,Account,Pending,Нет доступа к электронной почте,wifi
CONV-1095,"Добрый день, программа после установки не запускается на ноутбуке (0x80070002 — File not found), очень мешает работе.",Следуйте инструкции по установке программного обеспечения.,33 minutes,Software,Resolved,Не удаётся подключиться к Wi-Fi,install
CONV-1096,"Здравствуйте, появляются какие-то ошибки и сбои (0x0000003B), из-за этого не успеваю сдавать задачи.",Запустите утилиту диагностики системы.,25 minutes,Network,Resolved,Принтер не отвечает,diagnostic
CONV-1097,"Привет, сеть видна, но к ней не подключается на рабочем месте, особенно когда начинаю созвоны!",Перезагрузите маршрутизатор.,64 minutes,Network,Pending,Сбой при установке программного обеспечения,wifi
CONV-1098,"Добрый вечер, проблема с электронной почтой с рабочего компьютера, пишет, что нет подключения к серверу. Очень прошу помочь с этой проблемой.",Проверьте настройки электронной почты.,38 minutes,Software,Resolved,Не удаётся подключиться к Wi-Fi,email
CONV-1099,"Добрый день, появляются какие-то ошибки и сбои во время работы, после перезагрузки некоторое время всё нормально, потом снова (0x0000007E), очень мешает работе.",Запустите утилиту диагностики системы.,23 minutes,Account,Resolved,Забыл(а) пароль,diagnostic
CONV-1100,"Добрый день, проблема с электронной почтой через outlook, письма иногда доходят, иногда нет.",Проверьте настройки электронной почты.,22 minutes,Account,Escalated,Забыл(а) пароль,email
CONV-1101,"Добрый день, не приходят новые письма через веб-интерфейс, срочно нужно отправить отчёт (SMTP_550_User_not_found), раньше всё работало нормально.",Проверьте настройки электронной почты.,16 minutes,Network,Resolved after follow-up,Нет доступа к электронной почте,email
CONV-1102,"Добрый день, не могу отправить письма через outlook (Exchange_500_InternalServerError), это продолжается второй день.",Проверьте настройки электронной почты.,95 minutes,Account,Escalated,Низкая скорость работы системы,email
CONV-1103,"Добрый вечер, кажется, неправильно помню пароль (AUTH_401_Invalid_Credentials), очень мешает работе.",Сбросьте пароль по предоставленной ссылке.,43 minutes,Account,Escalated,Забыл(а) пароль,password
CONV-1104,"Добрый вечер, не получается установить программу, пробовала переустанавливать несколько раз, это продолжается второй день.",Следуйте инструкции по установке программного обеспечения.,103 minutes,Network,Resolved,Нет доступа к электронной почте,install
